"Libellé","région","secteur","trimestre","nombre de salariés","date","part de salariés","part d’hommes","part de femmes","pop france métropolitaine","prop pop","pour 100000 habitants","pop région","estimation avec salariés et non salariés","pour 100000 habitants avec non salariés"
"Fabrication d'autres produits industriels","Île-de-France","Industrie","2012-T3",170694,2012.5,91.9752138798998,70.5466278308938,29.4533721691062,63375971,18.7644405638535,1435.3506433086231,11892146.410060031,185586.95631074076,1560.5841864992976
"Fabrication d'équipements électriques, électroniques, informatiques et fabrication de machines","Île-de-France","Industrie","2012-T3",71346,2012.5,97.5275216469567,74.0080713136318,25.9919286863682,63375971,18.7644405638535,599.9421596394544,11892146.410060031,73154.73498677419,615.1516510500555
"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac","Île-de-France","Industrie","2012-T3",49237,2012.5,90.1449880537656,58.2836485601378,41.7163514398622,63375971,18.7644405638535,414.02954775555486,11892146.410060031,54619.786482897245,459.29291987771217
"Fabrication de matériels de transport","Île-de-France","Industrie","2012-T3",84140,2012.5,98.88354186718,79.6381737247353,20.3618262752647,63375971,18.7644405638535,707.5257661545664,11892146.410060031,85089.99416001556,715.514182435852
"Hébergement et restauration","Île-de-France","Tertiaire","2012-T3",286120,2012.5,83.2542911480777,51.8510871155374,48.1489128844626,63375971,18.7644405638535,2405.9575970067094,11892146.410060031,343669.97310817457,2889.8901952422207
"Industries extractives, énergie, eau, gestion des déchets et dépollution","Île-de-France","Industrie","2012-T3",85234,2012.5,97.4136361028159,75.1400209064623,24.8599790935377,63375971,18.7644405638535,716.7251147185442,11892146.410060031,87496.99057536379,735.754400915773
"Information et communication","Île-de-France","Tertiaire","2012-T3",382644,2012.5,88.5420667058806,67.6455575594651,32.3544424405349,63375971,18.7644405638535,3217.6193161926303,11892146.410060031,432160.682753282,3634.0006913108673
"Transports et entreposage","Île-de-France","Tertiaire","2012-T3",360694,2012.5,93.7115299333192,73.2478106080033,26.752262450877,63375971,18.7644405638535,3033.0437211475537,11892146.410060031,384898.2086373504,3236.574755855259
"Activités financières et d'assurance","Île-de-France","Tertiaire","2012-T4",322987,2012.75,93.6750606278241,42.9260023853922,57.0739976146078,63375971,18.7644405638535,2715.968916484014,11892146.410060031,344795.0797525973,2899.3511168086675
"Activités immobilières","Île-de-France","Tertiaire","2012-T4",72025,2012.75,80.9033327097309,45.3980810861373,54.6019189138627,63375971,18.7644405638535,605.6518101649946,11892146.410060031,89025.99879094593,748.611694821007
"Activités scientifiques et techniques, services administratifs et de soutien","Île-de-France","Tertiaire","2012-T4",969384,2012.75,85.245855562656,55.0917902567076,44.9082406298637,63375971,18.7644405638535,8151.463718777967,11892146.410060031,1137162.6146534472,9562.299146363324
"Administration publique, enseignement, santé humaine et action sociale","Île-de-France","Tertiaire","2012-T4",1152059,2012.75,93.8102897165811,31.7830081814805,68.2169918185195,63375971,18.7644405638535,9687.56152401074,11892146.410060031,1228073.1713766064,10326.757920990036
"Agriculture, sylviculture et pêche","Île-de-France","Agriculture","2012-T4",5226,2012.75,41.3813574082675,71.2588539247562,28.7411460752438,63375971,18.7644405638535,43.944968551506584,11892146.410060031,12628.875240704183,106.19508712086596
"Autres activités de services","Île-de-France","Tertiaire","2012-T4",360422,2012.75,78.9764741872223,38.3046311225266,61.6953688774734,63375971,18.7644405638535,3030.756497372963,11892146.410060031,456366.28338912746,3837.54343120994
"Commerce, réparation d'automobiles et de motocycles","Île-de-France","Tertiaire","2012-T4",693843,2012.75,86.4632088486895,53.0752949025437,46.9247050974563,63375971,18.7644405638535,5834.463990563143,11892146.410060031,802471.9522198444,6747.915174850203
"Construction","Île-de-France","Construction","2012-T4",282577,2012.75,76.1828913971963,88.349732295478,11.6502088424899,63375971,18.7644405638535,2376.1648255604814,11892146.410060031,370919.2376628533,3119.0268339538625
"Fabrication d'autres produits industriels","Île-de-France","Industrie","2012-T4",170605,2012.75,91.9752138798998,70.5466278308938,29.4533721691062,63375971,18.7644405638535,1434.6022502353196,11892146.410060031,185490.1911103725,1559.7704965476973
"Fabrication d'équipements électriques, électroniques, informatiques et fabrication de machines","Île-de-France","Industrie","2012-T4",71332,2012.75,97.5275216469567,74.0080713136318,25.9919286863682,63375971,18.7644405638535,599.8244348863504,11892146.410060031,73140.38006442654,615.0309417865411
"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac","Île-de-France","Industrie","2012-T4",49278,2012.75,90.1449880537656,58.2836485601378,41.7163514398622,63375971,18.7644405638535,414.3743131039306,11892146.410060031,54665.26876747589,459.67537635789955
"Fabrication de matériels de transport","Île-de-France","Industrie","2012-T4",83812,2012.75,98.88354186718,79.6381737247353,20.3618262752647,63375971,18.7644405638535,704.7676433675603,11892146.410060031,84758.29083122444,712.7249186868746
